Date,Community,Year,Month,Day,Hour,Minute,Age,Sex,Race,Latitude,Longitude,Location,ZIP_CODE
2009-10-25 22:27:00,North Lawndale,2009,10,25,22,27,20-29,M,BLK,41.86770309585807,-87.72422905869924,POINT (-87.724229058699 41.867703095858),60624.0
2009-10-26 09:20:00,West Englewood,2009,10,26,9,20,0-19,M,BLK,41.77149690414193,-87.67359094130077,POINT (-87.673590941301 41.771496904142),60636.0
2009-10-27 16:26:00,West Englewood,2009,10,27,16,26,40-49,F,BLK,41.76860165414193,-87.66333465387966,POINT (-87.66333465388 41.768601654142),60636.0
2009-10-27 16:26:00,West Englewood,2009,10,27,16,26,0-19,M,BLK,41.76860165414193,-87.66333465387966,POINT (-87.66333465388 41.768601654142),60636.0
2009-10-31 03:45:00,North Lawndale,2009,10,31,3,45,20-29,M,BLK,41.85139165414193,-87.72947465387966,POINT (-87.72947465388 41.851391654142),60623.0
2009-11-01 01:05:00,Austin,2009,11,1,1,5,20-29,F,BLK,41.90279309585807,-87.76034094130077,POINT (-87.760340941301 41.902793095858),60651.0
2009-11-01 01:15:00,Humboldt Park,2009,11,1,1,15,20-29,M,WWH,41.90172690414193,-87.71654094130076,POINT (-87.716540941301 41.901726904142),60651.0
2009-11-01 04:27:00,Humboldt Park,2009,11,1,4,27,30-39,M,BLK,41.90296309585807,-87.73154094130076,POINT (-87.731540941301 41.902963095858),60651.0
2009-11-01 23:40:00,Englewood,2009,11,1,23,40,20-29,M,BLK,41.77000309585807,-87.65221905869923,POINT (-87.652219058699 41.770003095858),60621.0
2009-11-04 06:01:00,Humboldt Park,2009,11,4,6,1,30-39,M,BLK,41.89850690414193,-87.71681905869923,POINT (-87.716819058699 41.898506904142),60651.0
2009-11-04 23:25:00,Austin,2009,11,4,23,25,20-29,M,BLK,41.88391690414193,-87.76012094130077,POINT (-87.760120941301 41.883916904142),60644.0
2009-11-08 23:29:00,North Lawndale,2009,11,8,23,29,0-19,M,BLK,41.85949165414193,-87.70942534612034,POINT (-87.70942534612 41.859491654142),60623.0
2009-11-15 00:06:00,Englewood,2009,11,15,0,6,20-29,M,BLK,41.78861690414193,-87.63882905869923,POINT (-87.638829058699 41.788616904142),60621.0
2009-11-16 09:59:00,Humboldt Park,2009,11,16,9,59,0-19,M,BLK,41.89772165414193,-87.73089465387966,POINT (-87.73089465388 41.897721654142),60651.0
2009-11-16 13:30:00,Englewood,2009,11,16,13,30,20-29,M,BLK,41.78209309585807,-87.63949905869923,POINT (-87.639499058699 41.782093095858),60621.0
2009-11-17 15:43:00,Humboldt Park,2009,11,17,15,43,40-49,M,BLK,41.89414966894668,-87.71095854747082,POINT (-87.710958547471 41.894149668947),60624.0
2009-11-24 20:21:00,North Lawndale,2009,11,24,20,21,30-39,M,BLK,41.86349309585807,-87.71136094130077,POINT (-87.711360941301 41.863493095858),60623.0
2009-11-26 00:10:00,Englewood,2009,11,26,0,10,20-29,M,BLK,41.78731834585807,-87.64593534612034,POINT (-87.64593534612 41.787318345858),60621.0
2009-11-27 15:17:00,Austin,2009,11,27,15,17,30-39,M,BLK,41.87449966894668,-87.76433854747083,POINT (-87.764338547471 41.874499668947),60644.0
2009-11-28 00:05:00,North Lawndale,2009,11,28,0,5,20-29,M,BLK,41.86469309585807,-87.71451094130077,POINT (-87.714510941301 41.864693095858),60623.0
2009-12-02 14:56:00,Humboldt Park,2009,12,2,14,56,20-29,M,BLK,41.90645690414193,-87.73420905869924,POINT (-87.734209058699 41.906456904142),60651.0
2009-12-08 17:30:00,North Lawndale,2009,12,8,17,30,30-39,M,BLK,41.84851309585807,-87.73405905869923,POINT (-87.734059058699 41.848513095858),60623.0
