"community_area","year","weapons_incidents","weapons_arrests"
"72","2019","5","3"
"72","2020","6","4"
"72","2021","18","14"
"72","2022","18","14"
"72","2023","15","15"
"73","2009","85","72"
"73","2010","70","63"
"73","2011","74","58"
"73","2012","54","48"
"73","2013","71","63"
"73","2014","51","43"
"73","2015","38","35"
"73","2016","51","44"
"73","2017","60","46"
"73","2018","60","49"
"73","2019","84","68"
"73","2020","117","100"
"73","2021","144","120"
"73","2022","120","101"
"73","2023","88","71"
"74","2009","4","2"
"74","2010","8","7"
"74","2011","2","2"
"74","2013","1","1"
"74","2014","1","1"
"74","2015","2","2"
"74","2017","2","2"
"74","2018","1","1"
"74","2019","1","1"
"74","2020","3","3"
"74","2021","4","4"
"74","2022","7","6"
"74","2023","11","9"
"75","2009","42","34"
"75","2010","31","27"
"75","2011","32","27"
"75","2012","34","31"
"75","2013","29","24"
"75","2014","28","22"
"75","2015","22","21"
"75","2016","22","18"
"75","2017","38","29"
"75","2018","38","30"
"75","2019","35","29"
"75","2020","45","36"
"75","2021","54","42"
"75","2022","65","61"
"75","2023","56","49"
"76","2009","7","5"
"76","2010","11","8"
"76","2011","4","4"
"76","2012","7","7"
"76","2013","1","1"
"76","2014","8","8"
"76","2015","7","5"
"76","2016","2","2"
"76","2017","7","6"
"76","2018","11","11"
"76","2019","7","6"
"76","2020","5","5"
"76","2021","13","11"
"76","2022","9","5"
"76","2023","18","15"
"77","2009","14","12"
"77","2010","14","9"
"77","2011","21","15"
"77","2012","15","12"
"77","2013","18","13"
"77","2014","12","10"
"77","2015","16","9"
"77","2016","18","8"
"77","2017","10","8"
"77","2018","6","4"
"77","2019","5","5"
"77","2020","5","1"
"77","2021","6","1"
"77","2022","13","9"
"77","2023","17","11"
